Year,Aruba,Andorra,Afghanistan,Angola,Albania,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kosovo,Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,"Macedonia, FYR",Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Paraguay,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Swaziland,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),Timor-Leste,Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,West Bank and Gaza,World,Samoa,"Yemen, Rep.",South Africa,"Congo, Dem. Rep.",Zambia,Zimbabwe
1960,,,537777811.111111,,,,,,,,,18567588755.7397,6592693841.18495,,195999990.0,11658722590.99,226195579.35701,330442817.168859,4274893913.46431,,,169803921.568627,,,28071888.562228803,84466654.0801544,563110051.920733,,,,,30411418.6788295,112155598.949571,41093453544.9096,,9522746719.21614,,4050727272.72727,59716467625.3148,546203561.5719889,618740988.011405,131731862.568997,4040948153.7302203,,,507513829.994855,1917126410.97449,,,,,,,,,6248946880.2777,672399700.0,2723637614.73246,80241339128.8783,137032283006.27301,153279467527.338,,431355839671.106,1010325138.03016,,245390378748.26102,,12072126075.397,,,358973310479.08704,,5224102195.52771,112328422.113084,62651474946.6007,,,141468977.570007,72328047042.1588,,1217230094.97205,,,,,,4446528164.67559,,,1043599900.0,,170215248.206265,1060332968132.02,1320796651.6945698,335650000.0,14545029599.2572,,,,,,39406230229.909,15806840237.7103,,,,37679274491.2745,,1939329775.4373899,4199134389.43894,1684121534.58415,248434096.96872598,2598500000.0,40385288344.1911,699050678.98642,,44307342950.4,,791265458.813328,,637142865.7142861,,12366563.611969901,3891846797.1383705,,,,,,190495600.0,,,,,,,1409873949.5798302,91842346965.4342,309785735870.88,34579308.4138317,,,703925705.942958,,,,2037150716.33238,,,673081724.075966,,,13056168000.0,,299079503154.171,,,,,,,,,,92609222.69128491,,162960130.465802,1916241996.60264,584477920198.99,,,449526872.56556106,4196174329.17504,223854666.66666698,12276734172.0828,5163271598.157021,508334413.965087,,5485854791.970961,1071137911766.66,,,3707055900.8819795,537147122.357472,2571908062.07692,6684568805.06881,,230496032.97272202,,8589731879.61741,1691900000.0,,3193200404.37297,,,1043242409092.5,,,,,119000024.0,47679118637.7482,,1307333333.3333302,792824707.345294,704462302.3650861,,322009471.57364,,,,,26663061792.1392,,26673248235.3973,,,93850000.0,,,14842870293.4207,35076158.4768305,,12012025.2477875,857704431.686497,,313582727.638108,80087763111.8501,,121128073.114022,2760747471.88624,,,,,,,47679118637.7482,26673248235.3973,535670127.748935,,13995067817.5092,,,423008385.74423504,,205605939995.545,,543300000000.0,,13066557.7786852,8736939393.93939,,24200000.0,,,,1352953877413.63,,,7363096178.076441,,713000000.0,1052990400.0
1961,,,548888895.5555559,,,,,,,,,19639377309.8891,7311749633.36229,,202999992.0,12400145221.595,235668222.42998397,350247237.11684,4817580183.56657,,,190098039.21568602,,,29964370.7125857,89249986.70071559,612518906.826491,,,,,32902592.8362861,123134584.467673,40767969453.696,,10712712465.0522,,4529818181.81818,50056868957.6732,618245639.221382,657597382.7591519,151675739.160627,4552914000.0,,,490325181.614275,2074862072.56065,,,,,,,,,6933842098.84548,654100200.0,2434766868.70395,70437983922.0771,137941126775.03198,153727346779.854,,459170251135.776,979108806.848646,,270109678134.316,,13834300571.4849,,,390826173410.591,,5921659485.03284,116987784.913739,68346741504.4257,,,167637907.381723,76694360635.9159,,1302674324.88378,,,,,,5016048786.22753,,,1076699900.0,,185848451.26290601,1121801061136.81,1383681651.13776,356200000.0,15415034179.5934,,,,,,42197107407.0772,16894252980.1923,,,,39920452403.4524,,2088012282.35667,4426949094.38944,1831700364.0436897,253885656.329253,3138500000.0,44842760293.1924,748028839.423211,,53508617739.3778,,792959472.134266,,642857134.2857139,,12483229.3064224,2357059741.3920197,,,,,,183920900.0,,,,,,,1444327731.0924401,97883254010.3635,298022944814.136,35699286.01427971,,,704145671.3502129,,,,2025689536.60705,,,699161943.856733,,,14153952000.0,,286903358586.359,,,,,,,,,,107726181.21830401,,174580139.768776,1901868548.28172,604157219440.397,,,485785231.729353,4467287709.59388,240524723.428571,13493833739.9949,5632460936.54576,531959561.62226,,5670064168.21773,1125812624460.5,,,4054599181.01638,599026264.158633,2899654840.3656697,7256966966.225559,,244832035.02350402,,9096550675.6362,1865100000.0,,3417516639.3759604,,,1102749492972.98,,,,,122000016.0,50850575695.3805,,1419333333.3333302,836493109.152284,764308114.464916,,327834680.56382203,,,,,28156532478.3176,,28166006307.4924,,,98400000.0,,,16147160122.7882,43025199.4960101,,11592024.3649978,945244992.2113061,,333975336.626596,70303170805.351,,126396469.70705801,3034043574.06071,,,,,,,50850575695.3805,28166006307.4924,584961208.656595,,8022222222.22222,,,441524109.014675,,185255739383.30603,,563300000000.0,,13999883.334305499,9058121212.12121,,25700000.0,,,,1408340363060.35,,,7742634887.30225,,696285714.2857139,1096646600.0
1962,,,546666677.777778,,,,,,,,,19883525590.7716,7756110210.119659,,213500006.0,13264015675.3193,236434906.75427002,379567178.256898,5081413339.74945,,,212254901.96078402,,,31856922.8615428,94149985.9705588,669722541.277818,,,,,35644931.942153,124482748.937917,41978852041.4426,,11879982758.5619,,5337818181.81818,47209359005.6056,645284344.6841179,699373701.2171379,166521239.863281,4968603735.58222,,,479180824.348506,2189387094.28401,,,,,,,,,7812968114.400121,824100000.0,2001460830.68173,64546403774.2208,143069504490.714,157284617056.36902,,502000322747.491,958598195.033967,,299750573349.815,,16138545209.246,,,426948208742.86896,,6340580854.39073,122906434.957814,76313782251.6964,,,182796536.499884,80601939635.2483,,1382515654.4734302,,,,,9122751.45318345,5327573509.09843,,,1143600000.0,,194948375.43020502,1211540461707.82,1612346412.26475,387750000.0,16252237624.153,,,,,,44738672580.2328,17904573534.3984,,,,42900864969.865,,2260349684.08625,4693566415.841579,1954634836.1803398,284916516.159537,2510000000.0,50383891898.9911,777712445.7510849,,60723018683.7333,,868111400.0088639,,660000008.571429,,12541562.1536487,2745940225.92395,,,,,,191861800.0,,,,,,,1434156378.6008198,100664970782.715,304729527246.93896,41859162.8167437,,,741509480.796284,,,,2379606422.29029,,,739286906.851163,,,15221056000.0,,293165053513.959,,,,,,,,,,111148585.592024,,183120146.60590202,2001502678.6881,647173002027.413,,,531736599.93073606,4909398974.58993,265291588.66666698,14647057370.1418,6066976682.67364,574091101.1943821,,6077496267.762939,1215826076295.52,,,4233095590.0882,652120893.1362469,3286773187.87687,4399827767.96704,,261184037.36267596,,9707199461.77931,2094400000.0,,3668222357.65702,,,1191304220925.2,,,,,125000008.0,54271622067.0542,,1541666666.6666698,857425916.243935,825885273.748857,,342721579.82466096,,,,,30033935486.9377,,30044366346.1182,,,103500000.0,,,17511477311.4463,45927061.4587708,,12642026.571972199,1110565863.53737,,357635713.876856,64422866708.2551,,132237441.63086298,3308912796.93487,,,,,,,54271622067.0542,30044366346.1182,619319197.340022,,8922222222.22222,,,449012578.61635196,,188508405870.841,,605100000000.0,,14524878.959342001,10022000000.0,,36900000.0,,,,1507716489300.88,,,8269697466.05068,,693142857.1428571,1117601600.0
1963,,,751111191.111111,,,,,,,,,21497368126.3299,8374175257.73075,,232749998.0,14260017387.0492,253927646.475909,394040749.12567,5319458351.12372,,,237745098.039216,,,33749405.0118998,96366652.3069165,721142957.311474,,,,,38091832.9893847,129379097.888958,44657169109.22401,,13063643795.7884,,5605562500.0,50706799902.5103,761047045.8304019,723624365.288138,172233430.871502,4838841455.55556,,,511902136.80997306,2325271098.7916102,,,,,,,,,8316692385.773859,940799900.0,2703004013.1648602,69894796594.2863,160365703235.007,175458681092.14902,,553562283855.615,1038389642.3141801,,336272941952.715,,19074913947.7196,,,470341177054.365,,6885920328.66187,129454728.623599,85551113767.3727,,,154480244.246844,85443766670.4279,,1540797588.57221,,,,,10840095.1283649,5949478034.88751,,,1262800000.0,,175756868.692761,1304651080574.94,1935298266.4538398,410200000.0,17484388242.11,,,,,,47124173556.8677,18577243834.9672,,,,49271095508.0955,,2430843768.44553,4928628018.48185,1978437692.5231,340061650.119898,2992333333.33333,57710743059.8341,826690466.190676,,69498131797.3333,,926589348.567393,,728571437.1428571,,12833226.389780099,3863727297.4126797,,,,,,200229600.0,,,,,,,1240672268.9075599,111993250733.92,334624550346.359,47039059.2188156,,,791140595.772755,,,,2657247327.3392,,,759345862.970929,,,16936336000.0,,322307782135.159,,,,,,,,,,113797356.813964,,190820152.770523,2510126747.68065,683353535761.531,,,586294879.4719,5165590041.59062,292916241.14285696,15891241386.291,6510239502.76489,496947904.443033,,6638937283.139629,1310234400793.38,,,4540529105.41789,722784547.760955,3600957771.15299,4875309866.34017,,275968039.477545,,10293121019.9755,2333600000.0,,3905734459.7269297,,,1282436604384.2,,,,,128000000.0,61058785588.5243,,1568333333.3333302,886387156.125059,917222004.4427019,,348546952.14151204,,,,,32248861175.9741,,32260470560.8668,,,110000000.0,,,18954132365.5148,54128377.43245129,,13923029.264481,1200447429.3556302,,371767002.65603596,69761023098.1248,,143255784.510751,3540403456.55305,,,,,,,61058785588.5243,32260470560.8668,678235373.038558,,10355555555.5556,,,516147798.74213797,,205628980125.064,,638600000000.0,,13708219.0981742,10823878787.8788,,41400000.0,,,,1628610353451.86,,,9174867982.64035,,718714285.7142861,1159511700.0
1964,,,800000044.4444441,,,,,,,,,23754059805.1294,9169983885.71185,,260750008.0,15960106680.6732,269818988.259263,410321785.631059,5386054619.3107605,,,266666666.66666698,,,36193826.1234775,107566650.637987,812543072.505384,,,,,41616368.3159934,142025069.461676,48882938810.2204,,14480556571.5476,,5861521739.13044,59708343488.5043,921063266.4455211,782384527.813649,185693724.845331,5992169466.66667,,,542578367.242598,2512035609.75832,,,,,,,,,9506678762.77765,1025599900.0,2909340109.86137,81035899937.659,178248471833.238,201631200504.724,,613027708696.3671,1156150890.06133,,374011495405.36896,,21343844643.7341,,,521246537495.531,,7766655085.78588,140032741.468329,94906593388.3107,,,215679855.27251598,93387598813.9269,,1731296199.52296,,,,,12712471.3960211,6680298250.57961,,,1299099900.0,,194773376.888526,1424279883893.01,2206466461.26434,457000000.0,19099327459.2685,,,,,,50815749037.6748,20297939680.7528,,,,57470781032.781,,2766608945.87402,5379845647.52475,2340521142.5371,434267936.914583,3405333333.33333,63175417019.0094,897931401.3719721,,81749006381.5111,,998759333.637333,,782857128.571429,,13416554.862042801,3358133926.34603,,,,,,218929100.0,,,,,,,1309747899.1596599,126568255467.379,376647441426.817,51938961.220775604,,,903158753.9436221,,,,2798339768.79755,,,802482182.9237679,,,20070136000.0,,363565908419.563,,,,,,,,,,151897168.106199,,194740155.908875,2674441395.5311604,734790505460.8579,,,582816396.216401,5552931090.7444105,341973758.85714304,18699380731.3465,7159202706.48027,496098775.30864197,,7274144350.81809,1431813987326.02,,,5130407727.84544,776137544.762792,4356913870.23508,5271404668.36735,,305312043.675238,,11232444006.6544,2570500000.0,,4235608177.6710205,,,1399764225381.17,,,,,129999994.0,69950362546.6393,,1611333333.3333302,939145851.154484,893734483.2091991,,371848114.755577,,,,,35125022655.9606,,35137935362.4129,,,120850000.0,,,21137242560.8543,64979280.4143917,,15393032.354245199,1339494290.42432,,392247517.60194904,80880803189.7254,,166104067.630043,3889129942.3076897,,,,,,,69950362546.6393,35137935362.4129,711893367.5552701,,11177777777.7778,,,589056603.773585,,231658600371.185,,685800000000.0,,14758210.348247102,9111000000.0,,53800000.0,,,,1786737202972.07,,,10071444211.1158,,839428571.428571,1217138000.0
1965,,,1006666637.77778,,,,,,,,,25925635569.4927,9994070615.85997,,158994962.96296299,17371457607.9374,289908720.64862204,422916848.424208,5906636556.95802,,,300392156.86274505,,,40069930.0699301,114339048.96273601,908874537.0370369,,,114040245.655299,,45788670.6930146,150574816.300764,53909570342.16901,,15346741669.7575,,5971875000.0,70436266146.7219,919771356.426097,814139855.756458,198318063.86083502,5790247619.047621,,,592981162.264151,2704935019.63388,,,,,,,,,10678897387.0006,888100000.0,3136284383.52788,94570465280.0141,193973744560.28302,224563225771.071,,667080143782.0171,2387048255.4517303,5111621013.54303,408120450523.738,,24756958694.9238,,,567643719474.381,,8589340019.02985,147084750.031482,102160571409.274,,,226474285.58710897,100595782309.165,,2053462968.0426,,,,,64748333.3333333,7600579093.1158,,,1331399900.0,,213235294.117647,1546715716328.4,2435078534.03141,508650000.0,21458248571.1342,,,,,429937010121.345,56800495631.3744,22602795969.1941,,,,60599264111.7178,,2945704142.99765,6197319928.712871,,523694949.370689,3663333333.3333297,67978153850.5191,972140557.188856,599831979.8375809,90950278257.7778,,997919319.9740609,,868571428.571429,,13593932.322053699,3017614366.3663697,,2097451694.2033,,,,229260800.0,,,,,,,1698319327.73109,136025875045.857,417642319481.89294,54878902.4219516,,,921600736.304026,,,,2948325264.30195,,,833563472.161911,,,21829712000.0,,402918187219.824,,,,,,,,,,172767213.28651598,,229460183.70571297,2956356984.18921,797723909391.131,,159594493.548808,673383510.2421241,5874422511.54977,566542872.3571429,21000586933.2041,8058681060.159,735267082.294264,,5654463586.00366,1554558625978.78,63287594.51134139,,5884712095.75809,852485295.920383,5166861068.421639,5784398976.9821,,344159480.34494305,,12151362577.1773,2881500000.0,,4687464054.83455,400129691.269841,,1520468621948.06,176534589.603389,,,,148799980.0,75140449984.0409,,1679333333.3333302,955834893.28571,974193126.878348,,359379856.248057,877720000.0,,,,38165030054.5068,,38177743082.7702,,,138650000.0,,,23260320646.2745,70278594.4281114,,15603032.7956401,1472036550.70992,,416926302.96349704,94389464370.2103,,187300336.365369,4388937649.03846,,,,,,,75140449984.0409,38177743082.7702,736568861.9261509,991047619.047619,11944444444.4444,,,884873949.5798321,,262015561537.917,,743700000000.0,,15108207.4316047,9496244444.44444,,66500000.0,,,,1946959546118.52,,,11002379672.4066,,1082857142.85714,1311435800.0
1966,,,1399999966.6666698,,,,,,,,,27250531974.4652,10887682273.1014,,165444571.428571,18651883472.4808,302925280.77356404,433889831.584706,6439687598.27648,,,340000000.0,,,44405594.40559439,134173373.782802,994044553.8720539,,,132758395.400497,,51465624.4090769,157930041.875883,60358632035.1532,,16480058704.8531,,6925641025.641029,76720285969.6157,1024103034.29198,853268771.097081,220613582.369827,5452762962.96296,,,647305630.188679,2933703027.8595,,,,,,,,,11721248101.0874,983900000.0,3039859261.76752,103528661460.871,190288216137.978,251058087326.15198,,724715402222.524,2429309513.80854,5339520612.99374,445041786632.831,,28721062242.1634,,,615341581028.053,,9208524504.87684,150603925.51585302,110597467198.645,,,245849781.7159,107090721447.05699,,2126300672.22965,,,44212353.6988296,,69110000.0,8455611129.27936,,,1390700000.0,,228705882.352941,1696571171119.35,2489845016.6489396,549950000.0,23238328580.0441,,,,378838788666.85297,439528990446.354,61301725403.189,24315799292.8365,,,,46669801600.0,,3104034393.23162,6789938671.9472,,628893310.399926,3980000000.0,73654870011.2757,1096738065.2387,658078969.476337,105628070343.111,,1164519673.19064,,914285714.285714,,14469078.1796966,3806043708.63124,,2391486978.4374104,,,,244459500.0,,,,,,,1751470588.23529,122897773182.506,425772428052.454,56698866.02267951,,,968440149.470951,,,,2876395613.0817103,,,900264583.6877289,,,24337232000.0,,409796125118.834,,,,,,,,,,180340653.822049,,260400208.47628197,3143538481.64119,875492805408.9359,,164206537.561675,702296079.857695,6366792664.14672,606671444.0,22867203317.4022,8696460205.3397,906811943.824649,,5863733230.97616,1706780918205.33,67768132.17586109,,6466610751.78496,928833047.077975,6113607728.15672,6371459304.41018,,390973233.284802,,13304520857.6138,3170500000.0,,5135387845.97108,421700442.063492,,1667340378912.67,215659455.017302,,,,124525702.857143,63055011708.5289,,1723000000.0,984942988.0689551,1095910100.61414,,375479849.80806,929520000.0,,,,41002473932.5178,,41015756488.4221,,,171100000.0,,,25302033132.3312,76858462.8307434,,16443034.5612196,1342287556.59602,,432794922.459759,103330515222.934,,216136263.91249698,5279230817.30769,,,,,,,63055011708.5289,41015756488.4221,723735635.536371,1040952380.9523801,14122222222.2222,,,925770308.123249,,286905508677.171,975000000.0,815000000000.0,,16099865.834451402,9984400000.0,,84100000.0,,,,2110151971302.29,,,11994960100.798,,1264285714.2857099,1281749500.0
1967,,,1673333417.77778,,,,,,,,,30378541829.9922,11579431668.9165,,178297142.85714298,19992040788.4593,306222000.407316,450753993.17644805,7253575399.268821,,,390196078.431373,,,47379310.3448276,155102984.621576,1084059814.81481,,,139030445.576898,,58642385.2376744,163820538.86794698,64768831262.1761,,17740013179.26,,6870588235.294121,72881631326.6715,1082922892.15202,934079050.346173,237397428.336429,5727195020.23203,,,699456618.867925,3149153145.8893,,,,,,,,,12788479692.1939,1034800000.0,3370870458.70498,100316006533.309,206276191231.19897,272009893179.523,,779728680887.835,2553596091.82258,5579168509.50907,483443030099.91205,,31647119228.1982,,,661228951389.842,,9368954010.3132,162625885.863484,119466139619.589,,,271543680.279285,111185383409.521,,1747187644.9031,,,46695363.1558873,,72317446.9327193,9136711287.82434,,,1453500000.0,,250176470.58823502,1820657017732.42,2692474989.12571,598100000.0,24154059538.1705,,,,394173853326.384,457377513501.68,63835211479.2205,24627183309.6746,5667756362.688271,,,51014155360.0,,3343636773.36759,7555383689.76898,,621225962.154708,4030000000.0,81133120065.4202,1148025407.34604,631755810.697284,123781880217.6,,1232559505.9162,,962857134.285714,,16742338.251986401,4702747059.36714,,2441893027.16326,,,,261024300.0,,,,,,,1859465020.5761302,131167246565.79599,442558521142.975,59260814.783704296,,,974721762.535327,,,,3046339294.53611,,,956436931.141842,,,26556376000.0,,425796453148.45294,,275494520.141999,,,,,,,,191221777.800889,,269812781.79847,3188945511.56409,926623934246.798,,180036768.87301,665586872.839162,5203135937.28125,657171436.7142861,25087562181.3218,9514496703.397621,841974025.462659,,5961418093.530029,1831494951069.33,107152720.243027,,7403821902.56195,1034376384.97265,6204253758.57616,6809134235.542979,,441706910.068317,,13127816041.6487,3532700000.0,,5740241165.63433,451524124.603175,,1789140416330.41,220984369.12915,,,,159560018.0,69408575693.9916,,1865666666.6666698,984605369.32995,1237423232.7192,25203524.0325638,348795303.000385,976200000.0,,,,41761557161.2851,,41774950321.009,,,198450000.0,,,27463409201.8822,74758504.82990341,,16632032.8138977,1580229795.10881,,449826322.99510705,100124009080.43901,,231706475.464114,5638461442.30769,,,,,,,69408575693.9916,41774950321.009,761981474.023359,1085714285.7142901,15666666666.6667,,,967647058.8235289,,293520735341.02,1677000000.0,861700000000.0,,15835177.9329133,10356422222.2222,,115400000.0,,,,2253196844075.03,,,13382332493.3501,,1368000000.0,1397002000.0
1968,,,1373333366.6666698,,,25747855610.4285,,,,,,32641953186.2471,12440625312.8685,,183200000.0,21376353113.475,326323097.355964,460442864.205949,7483685473.4584,,,444901960.784314,,,44910179.6407186,150000000.0,908874537.0370369,,,160819286.554292,,66248426.99414089,191767436.956884,70759031841.7237,,18942729779.1,,7050724637.681159,70846535055.6503,1281281245.67032,1053077155.17925,251247458.012189,5918455409.8099,,,773841494.3396231,3131462661.91186,,,,,,,,,13196541952.0,1079100000.0,3852147120.9470205,101251938260.646,223246857541.215,299708720719.723,,813214395382.861,2582180794.1855,6109112149.53271,518265311688.858,,31475548481.4095,,,687278153765.188,,8823033880.32993,166952937.135005,129847107787.88301,,,294468564.534369,104702736248.084,,1666909517.65205,,,41160658.570537105,,67514285.7142857,9915140546.35072,,,1610500000.0,,229750000.0,1972937653073.99,2716964388.42418,646800000.0,24780159935.4471,,,,414075149286.021,479636743869.37103,66284443630.6398,25567296464.3362,7076465108.74408,,,54016411986.6667,,3278584478.33023,8623172959.73597,2896947633.71605,474399471.622359,4619000000.0,87942231678.3505,1083883355.33421,561187342.481098,146601072685.511,,1353295457.51798,,1065714248.5714301,,14600000.0,5955336766.31122,,2663119574.34892,,,,276820700.0,,,,,,,1801344537.81513,140669201312.969,464257899298.09,61444771.10457789,,,1066447130.8205199,,,,3271415867.99723,,,1031669636.3606199,,32529094345.172997,29363632000.0,,447425387983.568,,343771964.662167,,,,,,,,210695183.76025102,,245160098.113071,3330393309.81315,1013409031841.72,,215507164.034258,641214226.839012,5200895982.08036,695899980.428571,27817605743.2503,10159934136.7838,772228643.405428,,5180597620.64135,1985415854291.49,188864890.808735,,8090088555.2289,1112791080.32402,5736083835.224811,7591603053.435109,,485160824.28043497,,13620724533.6074,3941700000.0,,6354262628.33537,477012512.698413,,1938917926675.97,259590076.29300097,,,,172200018.0,72867560808.3105,4187777711.11111,1947333333.3333302,1034293645.2571801,1425029400.2352,28084252.758274797,329860091.944037,1009760100.0,,,,44335942891.8641,,44348319846.9063,,,220600000.0,,,29143383490.5896,79798404.0319194,,16074027.349587802,1753746369.66049,,453980096.65441203,101058149503.339,,241956910.658103,6081009427.88461,,,,,,,72867560808.3105,44348319846.9063,758899950.0,1214666666.6666698,17500000000.0,,,1037815126.0504199,,304476757092.593,1847500000.0,942500000000.0,,15350000.0,11343444444.4444,,173800000.0,,,,2429403648018.66,,,14475710065.7987,,1605857142.85714,1479599900.0
1969,,,1408888922.22222,,,28420044954.3523,,,,,,36606562884.9815,13582798556.2404,,190205714.285714,23710735894.7022,330748211.459737,478298781.545658,8471006100.89247,,,528137254.901961,,,47305389.221556894,164900000.0,964615698.6531991,,,161211289.690318,,77361532.99351229,188039191.323608,77887510241.7083,,20524886616.4789,,8196511627.90697,79705906247.4612,1361360157.26999,1152418514.82616,265040036.059116,6405427873.70755,,,853630203.773585,3407866371.8540397,,,,,,,,,15009384584.5333,1230500000.0,4257253368.1660295,113695250417.366,247639337107.65,345228071452.178,,892827100050.157,3112166848.3004,6861743341.40436,572534263562.754,,36038711599.541,,,754867182986.745,,10070766720.5011,182182067.70356798,140725497222.27698,,,318124701.048949,112676874821.987,,1962050555.7775,,,45168722.699563205,,67225714.2857143,11266091570.5718,,,1715399900.0,,249300000.0,2165773158253.02,3189740055.13982,668000050.0,26779432942.5285,,,,461310133879.23706,534333542569.615,73829789011.4809,29073793938.9385,8337423312.883441,,,59472993626.6667,,3787077343.7278295,9743089607.92079,3008120974.5169396,414709311.35296,5329333333.33333,97085082807.3751,1191287651.50606,698963875.66508,172204199480.889,,1458379415.39403,,978873232.394366,,15850000.0,7475692343.83676,,2769532343.88127,,,,306961800.0,,,,,,,1965546218.4873898,156885174219.728,516180656910.812,65966680.66638671,,,1234878980.5019999,,,,3651615453.01848,,,1056391054.53794,,36307351304.919,32515752000.0,,498284168581.704,,339913833.096246,,,,,,,,199643444.56799498,,265800106.37320298,3664575983.2745295,1097952410241.71,,263108834.53668398,625867984.42818,6634187316.253671,747971449.571429,31503868835.1853,11063065083.4888,788641965.432099,,5761588761.69421,2179064741611.29,239980801.535877,,8632927257.45485,1221305650.49724,6420909789.63824,8408229699.14295,,551237316.608803,,15154988594.4629,4460700000.0,,6969025825.62869,512728946.031746,,2126853419009.62,242943776.86229903,,,,188700037.0,80004892125.9148,4485777644.44444,2144333333.3333302,983621024.1090381,1659055272.4421802,28606411.398041,408690163.476065,1049400000.0,,,,50211764303.4781,,50223743152.5,,,233450000.0,,,31649203885.887997,105417891.642167,,16452027.992747199,2245011571.98652,,471635620.92436796,113477646076.466,,267732446.378413,6695336567.30769,,,,,,,80004892125.9148,50223743152.4999,779200000.0,1289904761.90476,19466666666.6667,,,1169047619.0476198,,338776518296.007,2485500000.0,1019900000000.0,,16650000.0,11795044444.4444,,211300000.0,,,,2672120437696.6,,,16315273134.5373,,1965714285.71429,1747998800.0
